Player,Pos,HT,WT,Birth Date,Team,GP,MPG,PPG,RPG,APG,SPB,BPG
Imole Akinwale,G,6-1,-,-,Old Westbury,-,-,-,-,-,-,-
Bruno Alocen,F,6-6,180,"Apr 16, 2006",Indiana State,8,15.38,4.25,2.00,1.00,0.25,0.13
Aitor Anabitarte,C,6-8,216,"Mar 12, 2002",Jacksonville State,3,9.00,4.33,3.00,1.33,0.67,0.33
Owen Aquino,PF,6-8,230,"Jan 8, 2003",High Point,7,25.14,7.71,4.71,2.57,1.57,1.14
Alonso Ballesteros,G,6-1,160,-,St. Francis (IL),-,-,-,-,-,-,-
Nicolas Bootello,G,6-1,-,-,Franklin College,-,-,-,-,-,-,-
Gerard Bosch,F,6-7,220,"Feb 23, 2004",Sioux Falls,-,-,-,-,-,-,-
Ignacio Campoy Galvez,F,6-7,210,"Dec 3, 2007",Drexel,1,2.00,0.00,0.00,0.00,0.00,0.00
Mario Castro,G,6-0,200,-,Susquehanna,-,-,-,-,-,-,-
Hugo Chamero,G,6-1,-,-,Coker,-,-,-,-,-,-,-
Ander Claros,G,6-3,170,-,Augustana (IL),-,-,-,-,-,-,-
Armando Cuardado,F,6-9,-,-,Tennessee Wesleyan,-,-,-,-,-,-,-
Alejandro Cybak,F,6-8,245,-,Chestnut Hill,-,-,-,-,-,-,-
Guillermo Del Pino,F,6-5,183,"Jan 12, 2007",Maryland,7,9.86,2.86,0.43,0.43,0.71,0.14
Manuel Devora Violan,G,6-3,-,-,Hiram College,-,-,-,-,-,-,-
Guillermo Diaz,C,7-0,220,"Jun 29, 2003",San Francisco,8,13.13,5.88,2.75,1.50,0.38,0.50
Ignacio Diaz,F,6-8,-,-,Hannibal LaGrange College,-,-,-,-,-,-,-
Jorge Diaz,C,6-11,210,"Jun 29, 2003",Oregon State,7,8.57,2.00,0.86,0.71,0.14,0.86
Tidiane Diop,C,6-11,-,-,Rust College,-,-,-,-,-,-,-
Ruben Dominguez,SG,6-6,213,"Jan 23, 2003",Texas A&M,8,24.50,15.63,2.63,2.00,0.63,0.25
Amadou Doumbia,C,6-11,215,"Oct 11, 2005",North Carolina A&T,5,17.00,3.80,5.60,0.40,0.40,1.00
Clemson Edomwonyin,F,6-9,225,"Jun 26, 2005",Drexel,-,-,-,-,-,-,-
Diego Eslava Martin,F,6-5,-,"Jan 4, 2005",New College (FL),-,-,-,-,-,-,-
Julio Feria,G,6-1,175,-,Mount Mercy (IA),-,-,-,-,-,-,-
Fabian Flores Moreno,C,7-2,-,"Feb 25, 2005",DePaul,5,11.40,5.20,4.80,0.60,1.00,0.20
Alvaro Folgueiras,PF,6-9,215,"Apr 1, 2005",Iowa,7,20.86,10.00,4.71,2.57,1.14,0.43
Maximo Garcia-Plata,G,6-4,180,"Sep 12, 2007",Florida State,-,-,-,-,-,-,-
Iker Garmendia,F,6-9,210,"Aug 12, 2006",Elon,4,3.75,0.25,0.50,0.25,0.00,0.00
Guillermo Gasset Ruiz,G,6-4,163,"Aug 12, 2004",Emerson College,-,-,-,-,-,-,-
David Gomez,F,6-9,-,"Feb 11, 2004",Charlotte,2,19.50,5.00,3.50,0.50,0.50,1.50
Aleix Grano,GF,6-4,190,-,St. Francis (IL),-,-,-,-,-,-,-
Alexandre Huguet Carrasco,F,6-7,185,"Jul 8, 2006",Louisiana-Monroe,7,11.14,3.14,3.43,0.29,0.14,0.00
Bruno Issaqui,GF,6-3,-,-,Oakland City,-,-,-,-,-,-,-
Julen Iturbe,F,6-7,240,-,American University,7,22.14,8.00,5.43,2.29,0.57,0.00
Pablo Jimenez,F,6-6,215,-,Southeastern Oklahoma State,-,-,-,-,-,-,-
Miquel Llompart Perello,PG,6-4,196,"Feb 21, 2006",Eckerd College,-,-,-,-,-,-,-
Francisco Lopez Alameda,F,6-7,190,-,St. Ambrose,-,-,-,-,-,-,-
Aday Mara,C,7-3,240,"Apr 7, 2005",Michigan,7,22.57,10.14,8.71,1.86,0.14,2.71
Lucas Mari Tardio,G,6-6,-,"Oct 2, 2005",Vermont,8,23.63,7.38,5.00,3.63,0.75,0.25
Conrad Martinez,G,6-0,175,"Jan 6, 2005",High Point,7,20.57,11.43,1.29,3.86,1.57,0.00
Ismael Nidaye Matheu,G,6-1,-,-,Dominican (IL),-,-,-,-,-,-,-
Marcos Mejia,F,6-6,-,-,Brescia,-,-,-,-,-,-,-
Asier Miguel Torrero,GF,6-4,-,"Feb 2, 2006",Manhattan,4,6.00,3.25,0.75,0.50,0.50,0.25
Baba Miller,C,6-11,215,"Feb 7, 2004",Cincinnati,5,28.60,14.40,10.00,1.40,1.20,2.00
Oscar Morales,G,6-3,200,-,Western New England,-,-,-,-,-,-,-
Enrique Moya,G,5-11,150,-,Tennessee-Martin,-,-,-,-,-,-,-
Unai Moya,G,6-6,202,-,Chestnut Hill,-,-,-,-,-,-,-
Guillermo Narbona,F,6-7,225,-,St. Ambrose,-,-,-,-,-,-,-
Ignacio Nascimento Zschaeck,F,6-0,-,-,Mount Aloysius College,-,-,-,-,-,-,-
Pablo Navarro,SG,6-6,205,"Feb 7, 2005",St. Martin's,-,-,-,-,-,-,-
Victory Onuetu,C,6-10,235,"Mar 15, 2004",Hofstra,6,21.67,8.50,8.50,0.67,0.67,1.00
Marcos Pacheco Padilla,G,6-4,190,-,Davis & Elkins,-,-,-,-,-,-,-
Raul Perez,G,6-5,185,-,Mount Olive,-,-,-,-,-,-,-
Valentino Pinedo,SF,6-8,230,"Apr 7, 2004",UNC Greensboro,6,22.17,5.67,3.00,0.83,1.00,0.83
Ian Platteeuw,C,7-0,232,"Nov 3, 2007",Davidson,4,19.25,5.50,4.50,4.00,1.00,0.75
Iago Rimoldi,GF,6-3,-,-,Mount Aloysius College,-,-,-,-,-,-,-
Adria Rodriguez,PG,6-4,-,"Apr 28, 2003",Washington State,8,20.63,3.38,3.00,3.63,1.50,0.13
Jordi Rodriguez,F,6-6,197,"Apr 25, 2004",Cincinnati,5,13.40,4.40,1.40,1.20,0.20,0.00
Dani Romero,F,6-0,155,-,Augustana (IL),-,-,-,-,-,-,-
Roberto Ruesca,C,6-8,231,-,Emmanuel (GA),-,-,-,-,-,-,-
Javon Ruffin,PG,6-5,185,"Mar 1, 2003",Bowling Green,7,22.43,10.14,2.43,1.86,1.57,0.14
Juan Ruiz,C,6-9,-,-,Dickinson College,-,-,-,-,-,-,-
Juanma Ruiz,C,6-9,-,-,Northern Kentucky,-,-,-,-,-,-,-
Luis Ruiz,F,6-8,-,-,Dickinson College,-,-,-,-,-,-,-
Mario Saint-Supery,G,6-3,172,"Apr 14, 2006",Gonzaga,8,22.00,8.63,3.38,5.13,2.00,0.25
Ruben Salazar,C,6-6,-,"Apr 16, 2007",Erskine,-,-,-,-,-,-,-
Jorge Sanchez-Ramos Pereda,PG,6-3,185,-,Kentucky Wesleyan,-,-,-,-,-,-,-
Curro Segura,F,6-4,195,"Mar 21, 2006",William Jessup,-,-,-,-,-,-,-
Remi Skvorc,G,6-5,-,-,Buffalo State,-,-,-,-,-,-,-
Luca Soroa Schaller,F,6-6,195,"Oct 18, 2005",Northeastern,6,23.67,5.00,3.00,3.33,1.83,0.67
Pablo Tamba,F,6-7,206,"Sep 4, 2003",LSU,6,23.33,4.83,7.17,1.33,0.83,0.50
Jose Roberto Tanchyn,C,6-10,235,"Mar 19, 2004",UMBC,6,13.33,5.33,3.00,0.33,0.17,0.50
Xavi Tirado,F,6-6,-,-,Brescia,-,-,-,-,-,-,-
Raul Villar,G,6-3,190,"Oct 13, 2007",Charlotte,7,11.29,2.14,1.57,0.86,0.57,0.00
Manuel Zapater,F,6-8,-,"Sep 2, 2004",Mid-America Christian,-,-,-,-,-,-,-
